1780052290,133.00,105.04,648
1780052291,130.31,95.86,596
1780052292,161.70,121.32,713
1780052293,143.65,102.70,558
1780052294,139.65,105.55,552
1780052295,142.74,109.70,574
1780052296,135.48,96.12,540
1780052297,137.98,103.57,532
1780052298,139.08,99.91,505
1780052299,131.44,103.50,588
1780052300,130.97,96.25,529
1780052301,126.47,91.66,571
1780052302,135.75,100.75,552
1780052303,151.84,109.92,575
1780052304,141.26,105.31,574
1780052305,135.43,100.73,518
1780052306,120.71,85.55,465
1780052307,138.81,109.95,634
1780052308,127.74,101.86,762
1780052309,130.50,103.31,598
1780052310,138.68,99.74,804
1780052311,178.62,124.76,782
1780052312,139.82,109.60,592
1780052313,122.68,97.11,588
1780052314,130.26,98.33,502
1780052315,106.96,88.06,659
1780052316,142.66,106.20,693
1780052317,127.58,96.25,632
1780052318,130.88,96.63,573
1780052319,143.41,107.96,575
1780052320,143.75,111.37,597
1780052321,144.68,105.88,648
1780052322,141.48,103.44,554
1780052323,138.37,101.40,574
1780052324,169.10,127.57,640
1780052325,180.31,118.62,666
1780052326,198.72,161.13,860
1780052327,212.51,163.27,953
1780052328,223.00,166.07,770
1780052329,261.16,199.23,1311
1780052330,306.50,227.36,1118
1780052331,282.04,233.45,1190
1780052332,313.79,240.80,1334
1780052333,272.91,206.65,1085
1780052334,224.84,156.36,804
1780052335,256.09,194.97,940
1780052336,212.04,146.88,729
1780052337,200.37,147.98,713
1780052338,240.81,159.62,775
1780052339,240.27,172.03,891
1780052340,206.70,153.65,816
1780052341,235.02,180.87,921
1780052342,299.18,203.31,940
1780052343,245.49,177.97,939
1780052344,201.19,145.23,753
1780052345,182.37,144.51,795
1780052346,195.47,149.14,795
1780052347,202.40,144.78,731
1780052348,179.84,139.52,730
1780052349,198.41,146.36,719
1780052350,197.96,134.24,703
1780052351,216.68,148.18,690
1780052352,221.55,153.58,773
1780052353,243.64,167.14,768
1780052354,194.80,147.68,802
1780052355,189.14,142.59,698
1780052356,160.38,129.51,697
1780052357,152.96,115.81,635
1780052358,196.32,150.76,772
1780052359,151.18,109.57,654
1780052360,146.20,121.83,729
1780052361,185.55,121.48,602
1780052362,168.82,125.86,661
1780052363,228.86,164.90,847
1780052364,222.48,177.41,960
1780052365,198.04,145.04,744
1780052366,166.38,137.38,746
1780052367,160.84,113.82,668
1780052368,155.70,126.80,680
1780052369,142.86,114.24,679
1780052370,233.33,167.77,876
1780052371,247.08,181.27,896
1780052372,186.13,138.76,743
1780052373,207.61,151.16,812
1780052374,192.15,141.47,715
1780052375,209.66,173.54,1036
1780052376,213.87,153.63,767
1780052377,200.69,149.07,925
1780052378,237.76,175.96,879
